state,fips,state_abb,year,violentcrimerate_ce,propcrimerate_ce,pctblack,pcthisp,medinc,age,dieseltax,gastax,state_abbrev,fatal,fatal_occupant,fatal_non_occupant,vmt_rural,vmt_urban,vmt_total,rate_occupant,rate_non_occupant,speed65,speed70,mlda21,bac8,secondary,primary,rearsecondary,mv_registrations,rural_miles,urban_miles,rate,secondary_primary,unemprate,automobiles,buses,trucks,total,motorcycle,urban_den,rural_den,adj_primary,adj_secondary_primary,ln_pctblack,ln_pcthisp,ln_medinc,ln_age,ln_gastax,ln_violentcrimerate,ln_propcrimerate,ln_unemprate,ln_ruralvmt,ln_urbanvmt,ln_ruralden,ln_urbanden,adj_occrate,adj_nonoccrate,ln_adjocrat,ln_adjnonocrat
maine,23,ME,1983,.46000001,35.216,.31896117,.46328413,10896,34.542023,14,14,ME,224,197,27,5469,2244,7713,25.541294,3.5005834,0,0,0,0,0,0,0,765781,19713,2240,,0,8.283333333333333,556372,2464,206945,765781,48176,248.38036,28.223608,0,0,-1.1426859,-.76941472,9.2961512,3.5421767,2.6390574,-.77652878,3.5615005,2.1142454,8.6068506,7.7160153,3.3401587,5.5149612,.025541294,.0035005833,-3.6674588,-5.6548257
maryland,24,MD,1983,3.8870001,45.499001,23.003683,1.8132817,14557,33.685863,13.5,13.5,MD,656,511,145,12160,18949,31109,16.426115,4.6610308,0,0,1,0,0,0,0,3011109,17324,10101,,0,6.933333333333334,2516084,10436,484589,3011109,74496,249.09256,145.23689,0,0,3.1356544,.59513825,9.5858269,3.5170782,2.6026897,1.3576376,3.8176904,1.9363407,9.4059076,9.8495064,4.9783664,5.5178246,.016426114,.0046610306,-4.1088829,-5.3685188
massachusetts,25,MA,1983,2.3789999,44.34,4.4210358,3.0211742,14044,35.313961,11,11,MA,651,491,160,6662,30918,37580,13.06546,4.2575836,0,0,0,0,0,0,0,3839707,13207,20589,,0,6.933333333333333,3374962,10865,453880,3839707,112597,163.92064,255.54343,0,0,1.486374,1.1056455,9.5499506,3.5642784,2.3978953,.8666802,3.7918873,1.9363407,8.8041754,10.339094,5.5433922,5.0993824,.01306546,.0042575835,-4.3377833,-5.4590535
michigan,26,MI,1983,3.5139999,57.608002,12.955674,1.8024914,12332,33.157536,13,13,MI,1314,1034,280,23379,37476,60855,16.991209,4.6011009,0,0,1,0,0,0,0,6294849,92274,25193,,0,14.48333333333333,5024521,21135,1249193,6294849,233066,199.44115,54.452187,0,0,2.5615339,.58916986,9.4199524,3.5012701,2.5649493,1.256755,4.0536613,2.6729987,10.059593,10.531456,3.997323,5.2955194,.016991209,.0046011009,-4.0750589,-5.3814597
minnesota,27,MN,1983,1.0369999,38.432999,1.5717363,.88161051,12696,33.612537,16,16,MN,555,480,75,16183,14880,31063,15.452468,2.414448,0,0,0,0,0,0,0,3282157,118521,12954,,0,7.925000000000001,2407373,16914,815053,3239340,171821,185.84013,20.311785,0,0,.45218095,-.12600492,9.4490423,3.514899,2.7725887,.036331873,3.6489165,2.0700223,9.6917162,9.6077738,3.0112011,5.2248869,.015452468,.002414448,-4.1699867,-6.0262847
mississippi,28,MS,1983,.98800004,29.277,34.531681,.80824929,8744,32.419243,10,9,MS,715,613,102,11421,6381,17802,34.434334,5.7296934,0,0,0,0,0,0,0,1560277,64169,6906,,0,11.96666666666667,1189446,7663,363168,1560277,29075,172.2337,18.536146,0,0,3.5418773,-.21288474,9.0761232,3.4787521,2.1972246,-.012072545,3.3768022,2.482125,9.3432093,8.7610798,2.9197226,5.1488523,.034434333,.0057296935,-3.3687012,-5.1620932
missouri,29,MO,1983,2.0280001,40.527,10.227043,1.0426496,11885,34.878265,7,7,MO,911,782,129,17697,18846,36543,21.399446,3.5300879,0,0,0,0,0,0,0,3433042,104170,14543,,0,9.958333333333334,2541403,9673,881966,3433042,94369,174.75095,24.396688,0,0,2.3250356,.041765191,9.3830328,3.5518639,1.9459101,.70705014,3.7019684,2.2984097,9.7811508,9.8440561,3.1944475,5.163362,.021399446,.0035300879,-3.8443902,-5.6464324
montana,30,MT,1983,.47,44.318001,.24371938,1.2512846,11151,33.11092,17,15,MT,286,255,31,5115,2066,7181,35.510376,4.3169475,0,0,0,0,0,0,0,828737,69241,2312,,0,8.741666666666669,486294,1701,340742,828737,33787,210.33478,7.0232086,0,0,-1.4117378,.2241707,9.3192844,3.4998631,2.7080503,-.75502259,3.7913909,2.1681008,8.5399323,7.6333694,1.9492202,5.3487005,.035510376,.0043169474,-3.3379304,-5.4452066
nebraska,31,NE,1983,.736,35.699001,3.0986338,1.8736653,12022,34.251175,15.5,15.5,NE,255,228,27,7459,4075,11534,19.767643,2.3409052,0,0,0,0,0,0,0,1234591,87425,4536,,0,5.566666666666666,815232,4090,415269,1234591,46562,179.72487,9.3249302,0,0,1.1309613,.62789661,9.3944941,3.533721,2.74084,-.30652517,3.5751226,1.7167964,8.9171762,8.3126259,2.2326915,5.1914272,.019767644,.0023409051,-3.9237089,-6.0572176
nevada,32,NV,1983,3.7129998,60.460999,6.2072291,7.6320543,13892,33.052082,12,12,NV,253,205,48,3151,3721,6872,29.8312,6.9848661,0,0,1,0,0,0,0,730451,40803,3003,,0,9.841666666666667,527232,1653,201566,730451,21960,175.56844,12.921403,0,0,1.8257146,2.032357,9.5390682,3.4980845,2.4849067,1.3118402,4.1019983,2.2866251,8.0554752,8.2217474,2.5588851,5.1680288,.029831199,.0069848662,-3.5122006,-4.9640093
new hampshire,33,NH,1983,.45599997,32.312,.49624342,.7097137,13269,33.917278,14,14,NH,191,160,31,4358,2823,7181,22.281019,4.3169475,0,0,0,0,0,0,0,802640,12141,2404,,0,5.5,671966,1487,129187,802640,52871,279.51996,55.34684,0,0,-.70068872,-.34289363,9.493186,3.5239246,2.6390574,-.78526253,3.4754386,1.704748,8.3797684,7.9455552,4.0136194,5.6330738,.022281019,.0043169474,-3.8040202,-5.4452066
new jersey,34,NJ,1983,3.046,46.103001,12.486824,7.3189588,15190,35.390003,8,8,NJ,932,673,259,9813,42404,52217,12.888523,4.9600706,0,0,1,0,0,0,0,4940674,11520,22351,,0,8.191666666666668,4412437,15494,512743,4940674,101439,197.41563,383.02405,0,0,2.5246739,1.990468,9.6283922,3.5664294,2.0794415,1.1138293,3.830878,2.1031175,9.1914635,10.654998,5.9480977,5.2853112,.012888523,.0049600708,-4.351418,-5.3063354
new mexico,35,NM,1983,1.709,56.594002,1.9268153,36.501915,10819,31.421423,11,11,NM,531,413,118,7087,4591,11678,35.365646,10.10447,0,0,1,0,0,0,0,1236542,49676,4451,,0,9.708333333333334,798398,3775,434369,1236542,54776,179.37497,16.072107,0,0,.65586853,3.5973647,9.2890587,3.44749,2.3978953,.5359084,4.035903,2.2729845,8.8660173,8.4318533,2.7770853,5.1894784,.035365645,.01010447,-3.3420143,-4.5947776
